factorSet,textNumber,textMessage,framingSMS,historySMS,socialSMS,contentSMS,reflectiveSMS,quantitativeSMS,doctorSMS,lifestyleSMS
1,1,"Did you remember to take your medicine at your usual time today? If not, please take it now.",0,0,0,0,1,0,0,0
1,2,Have you taken your medicine yet today? Please remember to take your medicine today. ,0,0,0,0,1,0,0,0
1,3,"Are you taking your medicine prescribed by your doctor every day? Please try to take it at the same time every day, including today. ",0,0,0,0,1,0,1,0
2,4,"Remember to take your medicine prescribed by your doctor every day at your usual time, including today!",0,0,0,0,0,0,1,0
2,5,"Hi, please remember to take your medicine at your usual time.",0,0,0,0,0,0,0,0
2,6,Remember to take your medicine every day and keep up regular physical activity and healthy eating.,0,0,0,0,0,0,0,1
3,7,How consistent are you with taking your medicine? Try using an alarm or app on your smart phone to help you remember.,0,0,0,1,1,0,0,0
3,8,Have you created a routine for taking your medicine at the same time every day? Forming a habit makes it easier to stay on track. ,0,0,0,1,1,0,0,0
3,9,Do you have a daily routine? Keep your pillbottles in a place where you see it every day (like on your dresser or next to your toothbrush). ,0,0,0,1,1,0,0,0
4,10,Following a healthy lifestyle can help live your life the way you want to. The American Diabetes Association has some great tips at https://bit.ly/1eyJXE2,0,0,0,1,0,0,0,1
4,11,"It's a lot to do, but making healthy food choices, exercising 3 times per week for 30 mins, and taking medicine will help you feel good.",0,0,0,1,0,1,0,1
4,12,Higher levels of stress can affect your blood sugar. Learn how to take control of your stress and lifestyle at https://bit.ly/2QdK5i7.,0,0,0,1,0,0,0,1
5,13,Have you taken your medicine yet? Please take it at your usual time every day and reach out to loved ones if you need more support.,0,0,1,0,1,0,0,0
5,14,"Hi, have you taken your medicine today? You could ask a loved one to help remind you everyday.",0,0,1,0,1,0,0,0
5,15,Who are some of your loved ones you'd like to spend more quality time with? Taking your medicine every day can help make that easier. ,0,0,1,0,1,0,0,0
6,16,Your loved ones are counting on you to take your medicine - here is a reminder to take your medicine.,0,0,1,0,0,0,0,0
6,17,Just a reminder - don't forget to take your medicine today! Your loved ones will appreciate spending more time with you in the long run. ,0,0,1,0,0,0,0,0
6,18,Your loved ones want you to live a full and healthy life. Be sure to take your medicine as prescribed by your doctor. ,0,0,1,0,0,0,1,0
7,19,Have you asked a loved one to help remind you about your medicine? Involving them makes it easier for them to help you and makes them feel valued.,0,0,1,1,1,0,0,0
7,20,"When you are feeling well, do you sometimes stop taking your medicine? Skipping doses could affect how much time you can spend with your loved ones.",0,0,1,1,1,0,0,0
7,21,"Do you think your loved ones can help you stay on track? Involving them in medicine reminders, healthy eating, and exercise can help.",0,0,1,1,1,0,0,1
8,22,"30 million Americans have diabetes. While diabetes can be complex, you are not alone, and you can take control. ",0,0,1,1,0,1,0,0
8,23,Try to make your medicine schedule a part of your daily routine. You can ask for help from loved ones!,0,0,1,1,0,0,0,0
8,24,"Your loved ones can be a great resource for keeping up with your medicine, necessary doctor visits, and a healthy lifestyle.",0,0,1,1,0,0,1,1
9,25,You took your medicine prescribed by your doctor # of the last 7 days. Are you on track for today?,0,1,0,0,1,0,1,0
9,26,"Hi, you took your medicine # days in the last 7 days. Have you taken your medicine yet today?",0,1,0,0,1,0,0,0
9,27,Do you realize that you took your medicine # of the past 7 days? Try to take your medicine every day around the same time.,0,1,0,0,1,0,0,0
10,28,"In the last week, you took your medicine # days. Don’t forget to take your medicine today.",0,1,0,0,0,0,0,0
10,29,Here is a reminder to take your medicine today - you took your medicine # days in the last week. ,0,1,0,0,0,0,0,0
10,30,"Hi, you took your medicine # days in the past week. Please do not forget today.",0,1,0,0,0,0,0,0
11,31,Did you know you took your medicine # out of the last 7 days? Learn more why taking it every day is important: https://bit.ly/3hLNCQv.,0,1,0,1,1,0,0,0
11,32,"Hi, you took your medicine # of the past 7 days. Do you realize that keeping your blood sugar on track keeps you feeling better?",0,1,0,1,1,0,0,0
12,33,You took your medicine # of the past 7 days. Take your medicines every day even if you feel good.,0,1,0,1,0,0,0,0
12,34,"You took your medicine # of the last 7 days. Try linking your medicine with a regular activity - place it by your toothbrush, coffee pot, or toaster. ",0,1,0,1,0,0,0,1
13,35,Here's your daily medicine reminder! You took it # days in the last week. Are you more likely to take it when loved ones check in with you?,0,1,1,0,1,0,0,0
13,36,"In the last week, you took your medicines # out of 7 days - don't forget today! Did you know your loved ones or doctor could help you (https://bit.ly/2P6sbNJ)?",0,1,1,0,1,0,1,0
13,37,"Hi, you took your medicine # times in the past week. Are your loved ones helping you stay on track? ",0,1,1,0,1,0,0,0
14,38,You took your medicine # days in the last week. Your loved ones could help you stay on track with the medicine prescribed by your doctor.,0,1,1,0,0,0,1,0
14,39,"In the last week, you took your medicine # days. Think about your loved ones as you take your medicine today.",0,1,1,0,0,0,0,0
15,40,"In addition to taking your medicine # of the past 7 days, were you eating healthy with loved ones? If not, ask your doctor for advice on healthy meal plans!",0,1,1,1,1,0,1,1
15,41,"Hi, you took your medicine # days in the last week. How about asking a loved one to remind you to take them every day?",0,1,1,1,1,0,0,0
15,42,You took your medicine # days in the last week. Do you know that your loved ones can be a good resource for keeping you on track?,0,1,1,1,1,0,0,0
16,43,You took your medicine # days in the last week. Talking to your loved ones or doctor about the ABC's could help you stay on track: https://bit.ly/2P9eFZD.,0,1,1,1,0,0,1,1
16,44,You took your medicine # days in the past week. Remember your loved ones are counting on you.,0,1,1,1,0,0,0,0
16,45,"You took your medicine # of the last 7 days. Be sure to ask your loved ones to keep you on track with your medicine, eating habits, and exercise. ",0,1,1,1,0,0,0,1
17,46,Did you know that taking your medicine can help you feel good? Here's your reminder for today!,1,0,0,0,1,0,0,0
17,47,Are you taking your medicine at the same time every day as prescribed by your doctor? This will help you feel good. Don’t forget today!,1,0,0,0,1,0,1,0
18,48,"Hello! It is time to take your medicine. You can’t always feel your medicines working, but they can help you feel good in the future too.",1,0,0,0,0,0,0,0
18,49,Don't forget to take your medicine today! Taking care of yourself can help you feel good - it's worth it!,1,0,0,0,0,0,0,0
